Source,Magnitude,Phase
4:1,0.0300885587044343W,-200.40850709932016deg
2:1,0.028368107405644147W,-127.87548902238402deg
1:1,0.0300885587044343W,-200.40850709932016deg
3:1,0.028368107405644147W,-127.87548902238402deg
8:1,0.03925856104649925W,-364.5505052307529deg
6:1,0.03364558451507978W,-292.0174871538168deg
5:1,0.03925856104649925W,-364.5505052307529deg
7:1,0.03364558451507978W,-292.0174871538168deg
12:1,0.05789362472680424W,-528.6925033621857deg
10:1,0.04722605232762623W,-456.15948528524956deg
9:1,0.05789362472680424W,-528.6925033621857deg
11:1,0.04722605232762623W,-456.15948528524956deg
16:1,0.08872841557511467W,-692.8345014936184deg
14:1,0.07161751684951588W,-620.3014834166822deg
13:1,0.08872841557511467W,-692.8345014936184deg
15:1,0.07161751684951588W,-620.3014834166822deg
20:1,0.1341198258786693W,-856.9764996250512deg
18:1,0.1094992263416057W,-784.4434815481148deg
17:1,0.1341198258786693W,-856.9764996250512deg
19:1,0.1094992263416057W,-784.4434815481148deg
24:1,0.19516468142850382W,-1021.1184977564836deg
22:1,0.1626805351848667W,-948.5854796795477deg
21:1,0.19516468142850382W,-1021.1184977564836deg
23:1,0.1626805351848667W,-948.5854796795477deg
28:1,0.27131254886027933W,-1185.2604958879167deg
26:1,0.2314493599258082W,-1112.7274778109802deg
25:1,0.27131254886027933W,-1185.2604958879167deg
27:1,0.2314493599258082W,-1112.7274778109802deg
32:1,0.36045872641750404W,-1349.4024940193488deg
30:1,0.31444418636226495W,-1276.8694759424131deg
29:1,0.36045872641750404W,-1349.4024940193488deg
31:1,0.31444418636226495W,-1276.8694759424131deg
36:1,0.459285873546953W,-1513.544492150782deg
34:1,0.408907005191386W,-1441.0114740738459deg
33:1,0.459285873546953W,-1513.544492150782deg
35:1,0.408907005191386W,-1441.0114740738459deg
40:1,0.5635899107253954W,-1677.6864902822147deg
38:1,0.5110448529229202W,-1605.1534722052786deg
37:1,0.5635899107253954W,-1677.6864902822147deg
39:1,0.5110448529229202W,-1605.1534722052786deg
44:1,0.6684541753680853W,-1841.8284884136474deg
42:1,0.6162852009855256W,-1769.2954703367113deg
41:1,0.6684541753680853W,-1841.8284884136474deg
43:1,0.6162852009855256W,-1769.2954703367113deg
48:1,0.7683193906355124W,-2005.9704865450803deg
46:1,0.719381770828983W,-1933.4374684681443deg
45:1,0.7683193906355124W,-2005.9704865450803deg
47:1,0.719381770828983W,-1933.4374684681443deg
52:1,0.8571230633476743W,-2170.1124846765133deg
50:1,0.8144941171756978W,-2097.579466599577deg
49:1,0.8571230633476743W,-2170.1124846765133deg
51:1,0.8144941171756978W,-2097.579466599577deg
56:1,0.9286849871159432W,-2334.2544828079463deg
54:1,0.8954330504785633W,-2261.72146473101deg
53:1,0.9286849871159432W,-2334.2544828079463deg
55:1,0.8954330504785633W,-2261.72146473101deg
60:1,0.9773959069169249W,-2498.3964809393788deg
58:1,0.9562015254182221W,-2425.8634628624427deg
57:1,0.9773959069169249W,-2498.3964809393788deg
59:1,0.9562015254182221W,-2425.8634628624427deg
64:1,0.9990852902310591W,-2662.5384790708117deg
62:1,0.9917994834550291W,-2590.0054609938757deg
61:1,0.9990852902310591W,-2662.5384790708117deg
63:1,0.9917994834550291W,-2590.0054609938757deg
68:1,0.9917994834550291W,-2826.6804772022433deg
66:1,0.9990852902310591W,-2754.1474591253073deg
65:1,0.9917994834550291W,-2826.6804772022433deg
67:1,0.9990852902310591W,-2754.1474591253073deg
72:1,0.9562015254182221W,-2990.822475333676deg
70:1,0.9773959069169249W,-2918.2894572567407deg
69:1,0.9562015254182221W,-2990.822475333676deg
71:1,0.9773959069169249W,-2918.2894572567407deg
76:1,0.8954330504785633W,-3154.9644734651083deg
74:1,0.9286849871159432W,-3082.4314553881723deg
